review,sentiment
i just got a new bank account with chase and was really interested in the mobil app i guess they can say what they want to on the cermecials about this app and how good it is and how easy it can make you banking if it worked i downloaded the app and used it for about two days and now for over a week now i get  can not connect to chase at this time please try laterwhat is the point of all the perk advertisement when the product is crap i run on an iphone with the latest updates and have tried restarting my phone nope didnt work then i deleted the app and then reinstalled it to see if that worked nope another failure this is my first bank account in over four years since the recession i dont trust any bank institution until i absolutely needed one and chose chase for all of the perks i have read the reviews about the updated issues that everyone is having and all of the fixes that they are trying to do and noticed that chase wants the customer to upgrade to the latest ios typical of a bank they cant take responsibility for their own problems and blame someone else that like buying new tires for your car and they put big rig tires on your car and blame you for not having the right car that fits your tireschase you need to blame your tech support that you hired to develop your app and not you customers phone im about to shut down my account due to the lack of not taking care of their own responsibilities,0
great simple app though i probably dont use all the features just use to check my balance and review statements i use on my ipad mini loads full statements for review much better than their fraught website  chase for some reason discontinued their autobill feature with fidelity so i have to use this app every month to get my balance and set up manual payment in fidelitythis app makes that easier though wish chase would reactivate the autobill function been having a major problem last few months with the app everytime i launch to use says i must reset password as too many login attempts plus if seems to have forgotten my ipad which i have used every time in the past to launch i have alerted cust svcit is very inconvenient to have to reset pw ith each use been happening for the past few months i use a vpn that may be an issue not sure everyone should be using a vpn so hopefully that isnt the cause of the problem waiting for the fix for thisupdateaug   still having password problems every time i open the app it says acct suspended too many login attemps so everytime i need to see my acct have to slog thru their reset pw process i do not have this problem with any other financial institutions app needs a fix,1
ive been using this app for over  years now i can instantly check my balance transfer funds if im a bit short on  at the checkout line send amp receive  instantly and pay my bills in just a few clicks its fast secure and easyto the rest of you that had the audacity to give it only one star read the instructions if you cant deposit a cheque make sure you have verified the routing and account numbers and deposit amount if you are having trouble transferring  make sure you have the proper from and to accounts cant send or receive  make sure you have the proper email name address and if needed account  and finally to those that whine i cant log on fix it dont whine and give this app one star this is not the bank its an app people if the app is down chase is updating the software to keep you safe and secure is it a bit inconvenient of course it is however would you rather have instant gratification you moron or safe easy and secure bankingthank you chase online banking i havent had to go to a chase branch stand in line or so much as step foot in a bank for two years now great app thank you and keep up the good work  star app,1
overall the app does what its supposed to i can see my balances make transfers and use quick pay so for doing the basics it gets a three a four star review would mean that the app does it extremely well displaying the current balance and taking into account all pending charges so that you dont have to do the math on credit card accounts for example would be helpful fully functioning touch id capability would also make me more inclined to give a four star review but mine only gives the option for touch id every so often at one point i was completely shutting off the app and bringing it back on but that takes some time while in the grocery store in the checkout aisle the capital one app knows that sometimes the prompt doesnt appear so they have the touch id option available to be tapped at any time in the upper right hand corner of the app i think chase could easily implement something similar a five star review to me would come after revising the visual elements of the app it seems to me that everything is too big and too distracting simple is better and while i think what they have now isnt too crazy i think it could be zenned out even more,1
bank apps used by millions have to please a great many people that said i think this app could use some more focus i like the login screen generally simple with a picture and login info touchid is a huge recent feature i use every time once you log in you will have great difficulty knowing where to go next your accounts will pop up you can view account balances at a glance or click in to view transactions or pay the credit card off the sidebar menu is very complicated and takes some getting used to i dont use  of the menu options in there  no clue why theyre there i think there is a lot of work to do to make navigation simpler and to perhaps reduce some of the mental overhead of navigating the multilevel menu what are the  most common functions performed on the app focusing on reducing the number of steps to accomplish those five functions and making them as accessible as possible when you first open the app would go a long way to making this app a lot more userfriendly while easily the best banking app besides simple it still has some rough edges around navigation that need workthanks for the great app hope this review is helpful,1
in my humble opinion not every single app is going to have fancy bells and whistles this app for instance is for someone to view the amount you have available whats already posted and when as well as whats still pending you can make check deposits by photographing the front and back of the check set up payments in advance set up payee information transfer money between accounts send receive money to from family or friends even setup alerts for every account you have yes the alerts do not specify which account to view for the specified alert but all you have to do is change the account your viewing with a simple touch of your finger its not rocket science people and if the alerts throw you for a loop then maybe you might want to turn them off i have been using this app for what seems like forever and  with the exceptions of when the site is down for servicing and i need to transfer money in between accounts i would not complain if they were to put some bells and whistles but the app works appropriately for banking purposes  stars arent enough id give it  if possible thank you,1
chase doesnt care about its small customers or their money i made a  transaction at atampt on oct th and my app told me that the money was gone from my account apparently  days later they put the money back and didnt tell me so on the th of nov atampt officially took the money out and it caused me to overdraft by  now my issue with this is if i use this app and have alerts set so that i know whats going on in my account why would you not have an alert that tells me when transactions dont go through and large amounts of money are made available to me again why would you not have alerts set up that helps customers know what merchants havent collected money so that a person knows whats going in and out so basically if i am not checking every single day im screwed and if thats the case what it the point of the app and the alerts i might as well stick to banking on a computer since clearly its not convenient to bank using this app chase has left a very bitter taste in my mouth now and i will not be using their services they dont care about me and their customer service reps were rude about the situation and i also hate they they use non americans in their customer service call center i dont want to speak to someone from india about this issue  point is chase is officially the worst in my book and this app is useless,0
this is a criticism if both the mobile app and the web page app this is the second time the app failed to transfer  there would be an extremely small font message i could bearly read saying there is an important message when i taped on it it pushed my transfer out another day when i tried to transfer the  for the suggested day the transfer button would not respond i was able to call there mobile support and get it transferred they were pleasant and helpful but i had to go through a series of questions this experience happened twice in one week a painmy criticism of the webpage for online banking is that they keep updating it the layout is completely different and it takes quit some time to figure out how to get done what used to take  min can take  mins like getting a payees address or editing a recurring g payment they also grouped the payees into clusters which could be helpful if one remembered how a particular payee was grouped it would be better to have a toggle button between alphabetized and grouped listings my big beef is that it takes a while to figure things out get up to speed then they suddenly update it again and change the layout all over the improvements are not worth the time spent on the learning curve keep the updates for security issues and have layout updates optional,0
i love this app i have been a chase customer for many years originally a washington mutual customer before chase bought the company i was inclined to change banks when that happened because i wasnt familiar with chase but im so glad i decided to give them a try the app works great for me from checking all my balances on one screen to making deposits from home making payments from account to account to transferring money from person to person the only thing id like to see happen is it would be nice to see full account and routing numbers i have  different accounts with chase and cant remember all the account numbers so it would be nice to see more than just the last four digits i dont mind the extra password feature needed to get more in depth information on my accounts i understand its there as an extra security feature and dont mind entering my password a second time the touch id feature i love because i dont always have time to enter the password and is very convenient but nice to be reminded of my password everyone in a while so i do t forget it lol love this app,1
this app is my main way of managing my finances but is unfortunately extremely unreliable regardless of whether i am on a wifi network home work public ive tried them all or straight up data lte it is extremely slow and works only approximately  of the time i will often try to log in and it will simply say an unknown error occurred please try again later or i will be in the middle of depositing a check and it will suddenly crash and say try again later the worst part is when it crashes midtransaction yet the transaction goes through multiple times this happened to me recently and resulted in my transferring double what i intended to another account this is unacceptable for a bank app as the transactions we make on here are important and we cannot afford to have them encounter errors so often i have updated this app multiple times and it has yet to improve i would consider that this is an issue with my service or internet but this does not happen with any of my other apps including citibank american express and countless other nonbank apps the layout and organization of the app is good and userfriendly as such ive given it two stars instead of oneplease fix the poor connectivity and crashing issues,0
i live out in the boonies and travel often my husband is a truck driver and the app allows us to keep funds straight when set up up properly the alerts are zsuperb at alerting to transactions that my honey forgot to record easy to set easy to deposit easy to transfer funds without having hours of travel to the bank after big hassles with boa we have  + accts and plan on using them for business accts i am + and this is one of the only things i use my iphone for besides a phone easy to navigate even my dinosaur hubby can use itafter  update not liking app as much as before the back of check deposit writing annoying deposit by photo helpful so the + mile trip to local bank can be avoided i hate the week long wait to transfer funds into another out of state chase bank wth it isnt easy for me to try to calculate the delay and has caused my perfectly balanced accounts to screw up thinking of switching banks again they court you when they find you have  in other accts then kick you tothe curb if you dont put all in their banks personal bankers in nj fl and az nice  nj especially no brunswick branchwere great straightened out chase screwups yet again you can do better chase,1
i think its so silly that people rate this app  or  stars based solely on their bad experience with the checks deposit system its a new feature with flaws as most new features experience so dont be so quick to judge i love this app even before the deposit feature was released the interface is neat and easy to navigate and i always paid my bills with the app it is fast and easy for me to pay bills without a computer this app isnt all about deposits so overall it is a fantastic app i rate it  stars since i dont use or receive checks and so for all the other options that i do use bill payments and money transfers and statement summaries i can happily say its all great dont rate an app based on one new and not so perfect feature rate it overall including all other features you dont rate a game based only on its graphics do you you look at gameplay interaction storyplot etc to rate a game so if you hate the deposit feature or you only downloaded the app for that purpose only look at the other features and at least consider its worth  stars for the other goods,1
honestly i dont remember how i got by before this app ive had it for a couple of years now and i use it for a multiplicity of things from simply checking my balances or reviewing statements to instant balance transfers and mobile deposits my favorite feature is balance transfer it happens to me all the time that i do not have enough funds in my checking account because i can instantly transfer precise amounts from anywhere i keep my funds in savings then if there is an expense i can transfer the exact amount directly to my debit cardanother feature that i love is the notifications i have set my app to notify me of any payments transfers or withdrawals of anything more than  this is also instantaneous so i always know what the waitress charged me before she even brings back my card this is especially useful in the even of theft i will know within seconds of the thiefs  first purchase both what he charged and at what business if hes at a restaurant nearby ive daydreamed about calling the cops and confronting him myself anyways definitely get this app,1
most everything works in the app not always the easiest to use or missing useful features which still requires decent amount of web banking log in my biggest and longest problem with the chase app is the alerts feature i have  accounts banking and credit cards if i receive an inapp alert the number of notifications immediately disappears when clicking on the alerts in the menu there is no indication in which of the accounts the alerts were for which means i have to open each account and try to remember when i last read an alert in that account  if there were alerts for more than one account i still have to go through them all to make sure i didnt miss any i have complained a few times about this before directly to chase in the app online and through the phone however despite many added features fixes and improvements over the years this issue remains just as annoying and useless as ever  instead of making it more convenient by not having to deal with dozens of text messages or emails i still have to use those text message and email notifications,1
for an activity that can be inherently complicated the chase app makes banking as easy as one can expect  it is as intuitive as using a spoon although it is true that some activities require password entry even after logging in with touch id  minus one star for this even though im sure it is intentional for some arcane security reason one of the coolest features is that pending transactions are displayed within accounts not just the ones cleared  this allows you to see electronic activity almost immediately after you perform it but before it posts overnight  thats something your quicken online account updates wont show you i dont truly have reason to log in to my bank accounts very often but i find myself doing it anyway i thank the chase app for this  and fortunately this paid off recently when i noticed a pending debit card transaction for hundreds of dollars  the charge was fraudulent from compromised card data but i caught it within hours of the attempt thanks to a routine run of this app during a bored moment  score one for the good guys thanks chase,1
i have been using this application for over three years while they have introduce some improvement each time they make a major update they reintroduce previous problems for example if the check doesnt go through because of an error it wont let you redeposit it because the application states that the check is already deposited even though it has not the previous update would tell you that a check wasnt deposited when it was furthermore its more difficult to take photos of the checks now because you get more errors stating the check photo is not clear enough when it is and used to be fine theyve also added extra steps to taking photos of the checks between the front and back photo now theres a dialog box that you have to answer this used to not be it seems like a small thing but its a hassle when youre depositing several checks and we have to extra steps it obstructs the workflow it seems like about one out of every five checks wont deposit so i have to going to the local branch if i have to do it for one check i might as will do that for all of them so whats the use of this application if its not reliable,0
the remember me feature on the log in screen never works and as such you always need to re enter your login information every time you use the app for me ive found that if i re enter my login id check the remember me button again and then close the app immediately after the touch id feature works upon relaunching the app this is too much of a hassle and too much to have to do simply to check your balance you could log in much easier using a computer but then that defeats the purpose of having the convenience of the app in the first place there are many banking apps that at this moment all use touch id and this is the only one so far that has a problem with login it wouldnt be so much of an issue for me but after reading a lot of the negative reviews ive noticed that this has been an ongoing problem for quite some time and that chase doesnt seem interested in fixing it and that for me seems like a bad way to do business i think if chase really cares about their customers they would listen to their concerns and try to address them but it doesnt look like thats going to happen anytime soonso for now they get  stars,0
compared to other bank apps ive tried chase has the best mobile banking app around easy money transferring keeps up to date as best is possible with your charges so you dont overdraft yourself and even if you do they are pretty forgiving whatever you do dont get overdraft protection thats how they get a lot of overdraft fees from you because overdraft protection allows you to overdraft your account without getting warnings that you have over drafted your account then its  each day your account is overdrawn they can try to do it even if you dont have it but all you have to do is politely remind them that you dont have overdraft protection and the best way they could make you happy is by removing the overdraft fees so you can get your account back in order also dont forget to set it to start reminding you i said after  but maybe  would work better for some one else that your beginning to get low on funds its worked for over ten years in my case i wish you luckone way or another best banking app ive seen,1
i love what chase has done i am disabled and with this app i never have to go to the bank i am able to transfer money deposit checks and transfer money to friends for a dinner check all from my chase mobile app i also like the fact that chase bank honors american veterans i receive free custom checks a free safe deposit box and interest on my checking account chase goes above and beyond what any other establishment that i have dealt with to honor the american veteran they always call me by name if on the rare occasion i have to go in chase makes me feel like im part of their family instead of a number it is the best experience for a veteran that i have ever experienced they will continue to have my business as a matter of fact my son saw the exemplary service that they extended toward me that he opened his account there as well i cant say enough about them except thank you chase for caring about those who served this country job well done customer for life if you bank anywhere else then youre at the wrong place,1
not bad but i have hard time to understand how does it works  i deposit in my checking account a certain amount of money and start calculating how much i will have left after do all the payments  so far all good but the craziness starts when i see the payment i make goes on pending and pending and so on until finally one payment clears  than next day another one etc so the amount i had initially deposited start lowering function of how many checks clears  than i start calculating to see if i have enough money left and yes i do  so im not worried to deposit more money but after couple of days i receive a text from the bank that i have insufficient founds  how  i just calculated and all was good  is very confusing with those pending  i have money on account my money just take as much needed and done deal in one day  why pending  than another issue is with depositing checks by taking picture with the phone  i love it but why takes so long to process them  so far chase is a good bank and the applications on regards to the fellow clients which are writing bad reviews  are easy to access  easy to understand ,1
this is convenient and an app one would like to have but push alerts arent set up very well when chase sends you an alert it shows up on your home screen and notification center this is good however in order to viewclear an alert you have to log on and go through  screens and a drop down list only to see exactly the same message the screens you have to navigate arent obvious either the first time i had a notification i had to open every screen twice before i realized notifications are separated into specific accounts all you see is the red circled number on the more section of the home screen then nothing you tap alerts and see nothing youre supposed to view alerts history not to be confused with manage alerts then still see nothing until you select the right account for an iphone app the most fundamental and brilliant thing to do would be to at least add a notification button on the home screen of the app all on one page tap to reveal details and the pertaining account maybe a clear button since you already read the message before logging on,1
its true and its an intelligent move on the part of the people that manage chase because they know that taking care of one customer is taking care of millions of customers and thats why i have remained a loyal chase customer for all these years once i had a fraudulent use of my card recently and chase bank took care of my needs immediately and right over the phone having the ability to check my money in their iphone app is very convenient and in this case a great way that paid off its safe and reliable in fact coupled with applepay its going to be my go to payment method because chase and apple have a completely secure method of using applepay so that the cashier doesnt even see my card so no more chances of anyone checking out my card number and password i highly recommend chases mobile app it makes it easy to check on you accounts transfer money and well to do everything you would do online at home anywhere and right on your phone chase bank rocksthank you,1
i recently moved all accounts including personal and business to chase in the interest of transparency i am at chase private client what i find lacking as compared to another big bank is the ability to view account numbers and routing numbers transactions on credit cards not just statements which are seriously outdated check images and details on transactions i also find annoying having to go into each separate business or personal accounts area in order to view the accounts within it i prefer to have a total list of all accounts or to be able to make the view customizable i also think that the calculated totals should show for pending transactions its easy enough for chase to caveat those rather than hedge and put dots in place of useful info love the quickpay feature and the fact that it shows to whom payments were made on the listed transactions also find transfers and payments incredibly simple aside from setup of autopay from a related account to a credit card another area for improvement,1
chases mobile app is the most secure bank app ive known and used from the touch id only i can open to the very secure password options just in case i forget my log in and i havent had to reset my account at all with chase because of their tight online security and bank too and logging out after a certain point in time is a cool feature  navigation is simple and straightforward once you log in and to check my balance and add money is even simpler  i believe there is always room for growth in everything and i would say chases app area for growth would be its depth of field with scanning checks for account deposits  i know it takes the app a little bit longer than it should to read and scan a check even when the picture is in focus and the lighting is good  for example if a bank teller can check money for any sign of counterfeit faster than the mobile app can take to read and scan a paper check than theres room for improvement in this facet  ok thanks for reading guys and have a wonderful day,1
being a chase customer for a decade im proud to say that chase is the bank to go technology means a lot if it is adopted as it advances and ive found chase right there as forerunner none other banks come even close to application deployment as does chase some of the banks that just hype as one of the most convenient banks have been a decade behind from web application ux either their developers are sluggish or their priorities are tedious but its apparent that you wont get any competent to chase least by now the mobile app is just amazing you may have to wait right there and think for a while what you are looking for you are able to accomplish almost anything from this simple yet quite sophisticated app when you are banking via any other banking app you gonna end up in less than ten features but with chase app u r experience the full desktop features what more to expect larger icons and bigger texts common you are banking from an app yet capturing the entire banking possibilities on the go im living it,1
the only suggestion i have for you is to rethink the ux around the flow for taking pictures of checks with the deposit function  when i frame the check then tap the shutter button there is a considerable delay before the shot is taken  thats no good  then it continues in the follow up view that shows me the image for me to accept  why is that image so much smaller every time i use the feature i try to maximize the size of the check to help with readability but the image im shown afterwards has a  to  inch boarder around it  i finally noticed the demure but important note about switching to actual size which blew the image up to the point i was looking at a  x  approx section of the check  now i think i finally figured out what you intended and how you were approaching the task but a lot of folks are going to be confused by that  simplify and or clarify that process it needs to have a very straightforward feel about it and instead its cumbersome and cantankerous  thats no good  hope that was helpful  really great app otherwise,1
i use to love this app was able to transfer money make purchases and track how much was in my account in real time however in the last couple days it has been the biggest pain to deal with purchases i made days or even as much as a week or so prior are being removed from my account late and then there are even times when they are removed and then completely erased and then removed again causing me to now be unaware of how much money is currently in my account and to go overdrawni pride myself on being good with my money and never spending more than i have especially now in the holiday season however in the past  hours i have gone overdrawn twice and had to remove over  from my savings to deal with it and the first time it happened i even spoke to chase and they said that they had done nothing wrong giving me some run around story about sellers late money claims and me not being able to manage my money the last one really made my blood boil however hours after the call money that had caused me to be overdrawn and that chase had said wasnt a mistake on their part was miraculously redeposited into my account sorry chase app but youve let me down,0
simply stated this app works well without all the hassle chases mobile app covers all the usual financials checking account savings and credit card i use it to monitor my credit card account and it works like a charm im update in time to pay my bill alerted once payment has been received etc the app also has features like chase quickpay and mobile check deposit for people on the go with busy lives these features allow consumers to transfer money from there checking account to a business partner friend or family just by their email address they dont even have to have a chase bank account to receive the funds it transfers to the payees respective bank and mobile checking allows one to deposit checks using your cameras phone what more could the modern person ask for in a banking app well stability thats one thing and over the last few years the chase app has been the most stabile app in terms of consistent updates of features no crashes and very few hang ups with the service glad to use it thumbs up,1
app is fine but i am furious that they force u to update the software  all the time  if you dont update you cant login  and their forced updates are not compatible with older iphone software versions  hello chase if you are going to force an update at least make it compatible with all software versions   so right now i cant access the app anymore  they are forcing me to update the app and the software wont download  their latest version is incompatible with the iphone version i am using  its total bs   so now i am forced to update my iphone software in order to access the chase app which i will not do  my phone is old and wont b able to handle the upgrade so i would have to buy a new phone i hate the last few iphone software updates and do not want to upgrade  when you upgrade your software version all the accessories you have purchased like speakers alarm clocks car radios can stop working they become incompatible because they were created under older ios versions your accessories stop working and now youre forced to buy new accessories and install a new car radio it can get very expensive  its absurd  all this just to keep using the freaking chase app   i think not  im moving to another bank  im tired of these nazis,0
